step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
44;0;285462893;44;0;50;50;10.35;0.39;49.57;14.06;6;0;0;137.00;0
44;0;285462923;44;0;50;50;10.46;0.39;49.57;14.06;6;0;0;138.00;0
44;0;285462953;44;0;50;50;10.54;0.39;49.57;14.06;6;0;0;139.00;0
44;0;285462983;44;0;50;50;10.37;0.37;49.57;14.06;6;0;0;140.00;0
44;0;285463016;44;1;50;50;10.94;0.39;49.57;14.06;6;0;0;141.00;0
44;0;285463046;44;1;50;50;11.39;0.41;49.57;14.06;6;0;0;142.00;0
44;0;285463077;44;1;50;50;11.87;0.43;49.57;14.06;6;0;0;143.00;0
44;0;285463109;44;1;50;50;12.43;0.45;49.57;14.06;6;0;0;144.00;0
44;0;285463140;44;1;50;50;12.97;0.47;49.57;14.06;6;0;0;145.00;0
44;0;285463172;44;1;50;50;13.62;0.49;49.57;14.06;6;0;0;146.00;0
44;0;285463204;44;1;50;50;14.11;0.51;49.57;14.06;6;0;0;147.00;0
44;0;285463234;44;1;50;50;14.76;0.53;49.57;14.06;6;0;0;148.00;0
44;0;285463266;44;1;50;50;15.28;0.55;49.57;14.06;6;0;0;149.00;0
44;0;285463297;44;1;50;50;15.02;0.54;49.57;14.06;6;0;0;150.00;0
44;0;285463328;44;2;50;50;14.65;0.53;49.57;14.06;6;0;0;151.00;0
44;0;285463360;44;2;50;50;15.03;0.54;49.57;14.06;6;0;0;152.00;0
44;0;285463392;44;2;50;50;15.34;0.55;49.57;14.06;6;0;0;153.00;0
44;0;285463424;44;2;50;50;15.67;0.56;49.57;14.06;6;0;0;154.00;0
44;0;285463455;44;2;50;50;15.59;0.56;49.57;14.06;6;0;0;155.00;0
44;0;285463485;44;2;50;50;15.88;0.57;49.57;14.06;6;0;0;156.00;0
44;0;285463515;44;2;50;50;16.25;0.59;49.57;14.06;6;0;0;157.00;0
44;0;285463546;44;2;50;50;16.18;0.58;49.57;14.06;6;0;0;158.00;0
44;0;285463577;44;1;51;51;14.21;0.51;49.57;13.80;7;0;0;159.00;0
44;0;285463608;44;0;51;51;14.32;0.52;49.57;13.80;7;0;0;160.00;0
44;0;285463639;44;0;51;51;14.22;0.51;49.57;13.80;7;0;0;161.00;0
45;0;285463669;45;0;51;51;11.72;0.43;49.71;13.80;6;0;0;162.00;0
45;0;285463700;45;0;51;51;11.41;0.42;49.71;13.80;6;0;0;163.00;0
45;0;285463731;45;2;53;53;8.61;0.32;49.71;13.32;8;0;0;164.00;0
45;0;285463762;45;1;53;53;9.14;0.34;49.71;13.32;8;0;0;165.00;0
45;0;285463794;45;1;53;53;9.77;0.35;49.71;13.32;8;0;0;166.00;0
45;0;285463826;45;1;53;53;10.45;0.38;49.71;13.32;8;0;0;167.00;0
46;0;285463859;46;1;53;53;9.11;0.34;49.61;13.32;7;0;0;168.00;0
46;0;285463891;46;1;53;53;9.78;0.36;49.61;13.32;7;0;0;169.00;0
46;0;285463920;46;1;53;53;10.61;0.39;49.61;13.32;7;0;0;170.00;0
46;0;285463952;46;1;53;53;11.29;0.42;49.61;13.32;7;0;0;171.00;0
47;0;285463982;47;1;53;53;9.45;0.35;49.66;13.32;6;0;0;172.00;0
47;0;285464012;47;1;53;53;10.32;0.39;49.66;13.32;6;0;0;173.00;0
47;0;285464044;47;1;53;53;10.85;0.41;49.66;13.32;6;0;0;174.00;0
48;0;285464073;48;1;53;53;10.12;0.38;49.77;13.32;5;0;0;175.00;0
48;0;285464103;48;2;54;54;8.59;0.33;49.77;13.09;6;0;0;176.00;0
48;0;285464134;48;1;54;54;9.30;0.36;49.77;13.09;6;0;0;177.00;0
48;0;285464166;48;1;54;54;9.48;0.36;49.77;13.09;6;0;0;178.00;0
48;0;285464196;48;1;54;54;9.73;0.38;49.77;13.09;6;0;0;179.00;0
48;0;285464211;48;2;55;55;8.38;0.33;49.77;12.85;7;0;0;180.00;0
49;0;285464212;49;1;55;55;7.45;0.28;49.71;12.85;6;0;0;181.00;0
49;0;285464212;49;0;55;55;8.47;0.32;49.71;12.85;6;0;0;182.00;0
49;0;285464213;49;0;55;55;9.53;0.36;49.71;12.85;6;0;0;183.00;0
49;0;285464213;49;1;56;56;9.07;0.35;49.71;12.64;7;0;0;184.00;0
49;0;285464214;49;0;56;56;10.18;0.39;49.71;12.64;7;0;0;185.00;0
49;0;285464214;49;0;56;56;11.24;0.43;49.71;12.64;7;0;0;186.00;0
49;0;285464214;49;0;56;56;12.34;0.47;49.71;12.64;7;0;0;187.00;0
49;0;285464215;49;0;56;56;12.58;0.48;49.71;12.64;7;0;0;188.00;0
49;0;285464215;49;0;56;56;12.83;0.48;49.71;12.64;7;0;0;189.00;0
49;0;285464215;49;1;57;57;11.55;0.43;49.71;12.44;8;0;0;190.00;0
49;0;285464216;49;0;57;57;12.06;0.44;49.71;12.44;8;0;0;191.00;0
49;0;285464216;49;0;57;57;12.59;0.46;49.71;12.44;8;0;0;192.00;0
49;0;285464216;49;1;57;57;13.09;0.48;49.71;12.44;8;0;0;193.00;0
49;0;285464217;49;1;57;57;13.49;0.50;49.71;12.44;8;0;0;194.00;0
49;0;285464217;49;1;57;57;13.98;0.52;49.71;12.44;8;0;0;195.00;0
49;0;285464217;49;1;57;57;14.50;0.54;49.71;12.44;8;0;0;196.00;0
49;0;285464218;49;1;57;57;15.12;0.56;49.71;12.44;8;0;0;197.00;0
49;0;285464218;49;1;57;57;15.18;0.56;49.71;12.44;8;0;0;198.00;0
49;0;285464219;49;1;57;57;15.07;0.55;49.71;12.44;8;0;0;199.00;0
49;0;285464219;49;2;58;58;13.29;0.48;49.71;12.22;9;0;0;200.00;0
49;0;285464220;49;1;58;58;13.67;0.49;49.71;12.22;9;0;0;201.00;0
50;0;285464220;50;2;58;58;12.41;0.45;49.48;12.22;8;0;0;202.00;0
50;0;285464221;50;2;58;58;12.97;0.47;49.48;12.22;8;0;0;203.00;0
50;0;285464221;50;2;58;58;13.14;0.47;49.48;12.22;8;0;0;204.00;0
50;0;285464221;50;2;58;58;12.87;0.46;49.48;12.22;8;0;0;205.00;0
50;0;285464221;50;3;59;60;11.07;0.40;49.48;12.03;9;0;0;206.00;1
50;0;285464222;50;3;59;60;11.29;0.41;49.48;12.03;9;0;0;207.00;1
50;0;285464222;50;0;59;60;11.81;0.43;49.48;12.03;9;0;0;208.00;1
50;0;285464223;50;1;60;60;11.04;0.40;49.48;11.90;10;0;0;209.00;0
51;0;285464223;51;0;60;60;10.28;0.38;49.51;11.90;9;0;0;210.00;0
51;0;285464223;51;0;60;60;11.02;0.41;49.51;11.90;9;0;0;211.00;0
51;0;285464224;51;1;61;61;10.21;0.38;49.51;11.72;10;0;0;212.00;0
51;0;285464224;51;0;61;61;10.46;0.39;49.51;11.72;10;0;0;213.00;0
