step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
41;0;285378175;41;1;48;48;8.38;0.34;50.76;14.62;7;0;0;124.00;0
41;0;285378205;41;1;48;48;8.28;0.32;50.76;14.62;7;0;0;125.00;0
41;0;285378235;41;1;48;48;8.18;0.30;50.76;14.62;7;0;0;126.00;0
41;0;285378266;41;1;48;48;8.02;0.30;50.76;14.62;7;0;0;127.00;0
41;0;285378297;41;1;48;48;8.06;0.30;50.76;14.62;7;0;0;128.00;0
41;0;285378328;41;2;49;49;7.01;0.26;50.76;14.35;8;0;0;129.00;0
42;0;285378358;42;1;49;49;6.01;0.23;50.19;14.35;7;0;0;130.00;0
42;0;285378390;42;2;49;49;6.64;0.25;50.19;14.35;7;0;0;131.00;0
43;0;285378421;43;2;49;49;5.57;0.21;49.63;14.35;6;0;0;132.00;0
43;0;285378451;43;2;49;49;6.12;0.23;49.63;14.35;6;0;0;133.00;0
43;0;285378481;43;3;50;50;5.77;0.22;49.63;14.08;7;0;0;134.00;0
43;0;285378514;43;2;50;50;6.36;0.24;49.63;14.08;7;0;0;135.00;0
43;0;285378543;43;2;50;50;6.95;0.26;49.63;14.08;7;0;0;136.00;0
43;0;285378574;43;2;50;50;7.44;0.28;49.63;14.08;7;0;0;137.00;0
43;0;285378604;43;2;50;50;8.00;0.30;49.63;14.08;7;0;0;138.00;0
43;0;285378620;43;2;50;50;8.60;0.33;49.63;14.08;7;0;0;139.00;0
43;0;285378635;43;2;50;50;9.12;0.33;49.63;14.08;7;0;0;140.00;0
43;0;285378651;43;2;50;50;9.52;0.34;49.63;14.08;7;0;0;141.00;0
43;0;285378667;43;2;50;50;9.87;0.36;49.63;14.08;7;0;0;142.00;0
43;0;285378683;43;2;50;50;10.19;0.37;49.63;14.08;7;0;0;143.00;0
43;0;285378698;43;2;50;50;10.63;0.38;49.63;14.08;7;0;0;144.00;0
44;0;285378713;44;2;50;50;9.87;0.36;49.07;14.08;6;0;0;145.00;0
44;0;285378713;44;2;50;50;10.07;0.36;49.07;14.08;6;0;0;146.00;0
44;0;285378714;44;2;50;50;10.36;0.37;49.07;14.08;6;0;0;147.00;0
44;0;285378714;44;2;50;50;10.27;0.37;49.07;14.08;6;0;0;148.00;0
44;0;285378714;44;2;50;50;9.66;0.35;49.07;14.08;6;0;0;149.00;0
