bin,Step Time,Average Waiting Time
"(18600, 18900]",18750.5,3.0646999999999998
"(18900, 19200]",19050.5,3.0587
"(19200, 19500]",19350.5,3.0504333333333333
"(19500, 19800]",19650.5,3.0458
"(19800, 20100]",19950.5,3.0534666666666666
"(20100, 20400]",20250.5,3.0488666666666666
"(20400, 20700]",20550.5,3.0426666666666664
"(20700, 21000]",20850.5,3.032966666666667
"(21000, 21300]",21150.5,3.0242999999999998
"(21300, 21600]",21450.5,3.013133333333333
"(21600, 21900]",21750.5,3.1073000000000004
"(21900, 22200]",22050.5,3.115266666666667
"(22200, 22500]",22350.5,3.1027666666666667
"(22500, 22800]",22650.5,3.092633333333333
"(22800, 23100]",22950.5,3.087
"(23100, 23400]",23250.5,3.073933333333333
"(23400, 23700]",23550.5,3.0759666666666665
"(23700, 24000]",23850.5,3.065366666666667
"(24000, 24300]",24150.5,3.0610333333333335
"(24300, 24600]",24450.5,3.0538
"(24600, 24900]",24750.5,3.042533333333333
"(24900, 25200]",25050.5,3.0281333333333333
"(25200, 25500]",25350.5,3.0667
"(25500, 25800]",25650.5,3.0614
"(25800, 26100]",25950.5,3.0483666666666664
"(26100, 26400]",26250.5,3.0364999999999998
"(26400, 26700]",26550.5,3.0295666666666663
"(26700, 27000]",26850.5,3.0171333333333332
"(27000, 27300]",27150.5,3.0109666666666666
"(27300, 27600]",27450.5,3.0
"(27600, 27900]",27750.5,2.9931666666666668
"(27900, 28200]",28050.5,2.9835333333333334
"(28200, 28500]",28350.5,2.9721333333333337
"(28500, 28800]",28650.5,2.9621999999999997
"(28800, 29100]",28950.5,3.0483666666666664
"(29100, 29400]",29250.5,3.1334999999999997
"(29400, 29700]",29550.5,3.1668666666666665
"(29700, 30000]",29850.5,3.17
"(30000, 30300]",30150.5,3.1770333333333336
"(30300, 30600]",30450.5,3.1711333333333336
"(30600, 30900]",30750.5,3.1798333333333333
"(30900, 31200]",31050.5,3.1709
"(31200, 31500]",31350.5,3.1814666666666667
"(31500, 31800]",31650.5,3.181966666666667
"(31800, 32100]",31950.5,3.18
"(32100, 32400]",32250.5,3.18
"(32400, 32700]",32550.5,3.2490333333333337
"(32700, 33000]",32850.5,3.2614666666666663
"(33000, 33300]",33150.5,3.254566666666667
"(33300, 33600]",33450.5,3.258733333333333
"(33600, 33900]",33750.5,3.2516333333333334
"(33900, 34200]",34050.5,3.245766666666667
"(34200, 34500]",34350.5,3.2556999999999996
"(34500, 34800]",34650.5,3.25
"(34800, 35100]",34950.5,3.25
"(35100, 35400]",35250.5,3.2576
"(35400, 35700]",35550.5,3.2511
"(35700, 36000]",35850.5,3.25
"(36000, 36300]",36150.5,3.3179
"(36300, 36600]",36450.5,3.35
"(36600, 36900]",36750.5,3.35
"(36900, 37200]",37050.5,3.3566333333333334
"(37200, 37500]",37350.5,3.3612333333333333
"(37500, 37800]",37650.5,3.36
"(37800, 38100]",37950.5,3.3869333333333334
"(38100, 38400]",38250.5,3.39
"(38400, 38700]",38550.5,3.3989999999999996
"(38700, 39000]",38850.5,3.4
"(39000, 39300]",39150.5,3.4
"(39300, 39600]",39450.5,3.4000333333333335
"(39600, 39900]",39750.5,3.460933333333333
"(39900, 40200]",40050.5,3.5404999999999998
"(40200, 40500]",40350.5,3.6306000000000003
"(40500, 40800]",40650.5,3.7475666666666667
"(40800, 41100]",40950.5,3.890833333333333
"(41100, 41400]",41250.5,4.061066666666666
"(41400, 41700]",41550.5,4.251366666666667
"(41700, 42000]",41850.5,4.4529000000000005
"(42000, 42300]",42150.5,4.670933333333333
